,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
1,1.0000001,0.39100483,0.20374966,0.13383526,0.12740767,0.26140144,0.29480788,0.052305683,0.323717,0.2193298,0.24046093,0.31318983,0.31628272,0.2368711,0.31411895,0.31877425,0.31733012,0.38720945,0.2794599,0.49139425,0.124246076,0.002424487,0.32159856,0.35063824,0.27002445,0.41585344,0.19727457,0.19235186,0.29537413,0.33000642,0.38355154,0.33506796,0.2778744,0.10870779,0.1871474,0.13463186,0.15398915,0.34989595,0.3008323,0.2020112,0.4390785,0.30309463,0.28619927,0.19496758,0.40150958,0.23915587,0.26865748,0.35427505,0.25794703,0.26438066,0.28904688,0.05335993,0.3484505,0.325008,0.33641273,0.26568958,0.21941836,0.335259,0.4942883,0.34607846,0.33195847,0.27407685,0.15517522,0.28856105,0.22600701,0.3087772,0.25779232,0.15422693,0.3805953,0.29228148,0.36584282,0.21817072,0.30500382,0.45075193,0.07310248,0.26338324,0.15359317,0.30036432,0.14066125,0.39074078,0.3003582,0.21024546,0.055776913,0.47915834
2,0.39100483,1.0000001,0.24221088,0.24851424,0.22635683,0.28156725,0.39052433,0.12864394,0.18243758,0.36470562,0.22858195,0.39971012,0.34339812,0.37613901,0.28433976,0.41868508,0.34927687,0.2699726,0.31875125,0.48220253,0.35240057,0.050432775,0.2826783,0.41027486,0.2820279,0.36884862,0.22217253,0.28305224,0.2713874,0.37223822,0.39509743,0.30259746,0.24457008,0.15179141,0.2427838,0.16002727,0.19963883,0.42064926,0.34980598,0.22848055,0.4394814,0.3063088,0.40148342,0.24385299,0.49064797,0.37466002,0.23312964,0.15819313,0.2527472,0.29544103,0.23075499,0.1950377,0.37655064,0.32147542,0.35277525,0.20719214,0.26163125,0.36300954,0.2156354,0.38417578,0.3614867,0.356535,0.10556318,0.30447987,0.31138176,0.3496553,0.16373095,0.18687993,0.35732123,0.22580624,0.40289357,0.2539388,0.35188323,0.32128468,0.13233145,0.25475508,0.08330937,0.25311884,0.24961281,0.34566253,0.32942444,0.24325727,0.08085437,0.38384262
3,0.20374966,0.24221088,1.0000001,0.107627764,0.07030811,0.025088815,0.20123917,0.21473676,0.25418606,0.14731044,0.24119374,0.15962437,0.27029434,0.1360023,0.10226176,0.25030142,0.43097258,0.13132429,0.21875754,0.21003099,0.18897784,0.1739972,0.06796567,0.13507637,0.11864283,0.18789977,0.13840263,0.35142735,0.10079165,0.16003482,0.25706837,0.113253295,0.110694595,0.076177046,0.13868684,0.13029656,0.065084115,0.25535864,0.3301693,0.11705879,0.12708877,0.25941724,0.21898475,0.22968055,0.11617728,0.41947335,0.08762767,0.101492174,0.24043918,0.17581423,0.09334154,0.30386275,0.18408431,0.06694764,0.25641093,0.20966232,-0.00991567,0.21256712,0.19014552,0.24417949,0.2041335,0.18253143,0.08181967,0.17223854,0.27156734,0.08563409,0.12824479,0.039176017,0.3039695,0.33927995,0.15806723,0.13623482,0.18831648,0.21901387,0.018333323,-0.0102687925,0.047380798,0.11690368,0.14045772,0.1770032,0.22450364,0.03241223,0.041057784,0.26069564
4,0.13383526,0.24851424,0.107627764,1.0000001,0.22990088,0.3563594,0.14109944,0.15679199,0.1902856,0.30297568,0.14459768,0.11881982,0.26858655,0.21712852,0.1496868,0.30281404,0.14564803,0.071011014,0.35685527,0.25862792,0.26955473,0.16995837,0.1598023,0.13637146,0.31532255,0.3687982,0.1982732,0.2190733,0.16128856,0.08676113,0.21988682,0.18035588,0.3005931,0.108991,0.2568006,0.29015997,0.1359858,0.21115974,0.15681982,0.21832068,0.30743578,0.1560263,0.32157734,0.46871015,0.08368188,0.128069,0.14832215,0.25672752,0.3184597,0.28167614,0.07398393,0.31465766,0.30466616,0.12352882,0.110894084,0.038831465,0.04796254,0.08606422,0.18206058,0.41241735,0.2789295,0.1806147,0.4017717,0.20688649,0.09199771,0.12412778,0.1490924,0.20093292,0.25395295,0.23586044,0.26801705,0.27200767,0.19771856,0.09396745,0.4395928,0.18440787,0.11088979,0.3694477,0.20606998,0.29950488,0.19632453,0.22635637,0.14488843,0.22204244
5,0.12740767,0.22635683,0.07030811,0.22990088,1.0,0.16416934,0.33225542,0.1385533,0.094822414,0.14244868,0.11699718,0.3317682,0.1719404,0.13990037,0.23294446,0.13166682,0.06006725,0.10670327,0.32362598,0.21556608,0.21508364,-0.05349469,0.14351879,0.10142108,0.16593656,0.19261658,0.10196684,0.07632635,0.21626669,0.31746513,0.12907718,0.2697407,0.110408954,-0.06992135,0.17018612,0.000819721,0.06969927,0.09619535,0.10745798,0.2381854,0.16477013,0.182303,0.146786,0.1845768,0.11510738,-0.015433918,0.22193532,0.108462036,0.09334735,0.10934416,0.19231075,0.060520478,0.36452782,0.3149789,0.10696988,0.17577209,0.06590632,0.093373545,0.07893191,0.18274915,0.13078676,0.3086235,0.14942731,0.21198976,0.15107225,0.114783034,0.22907759,0.13228631,0.20691225,0.019698275,0.24291304,0.30798793,0.13950591,0.07666325,0.11255025,0.18206936,0.09881111,0.16926843,0.16950431,0.21979426,0.3066458,0.19009429,0.12867552,0.20021585
6,0.26140144,0.28156725,0.025088815,0.3563594,0.16416934,1.0,0.11966183,0.08563404,0.11100652,0.40776628,0.18689965,0.24530482,0.36210415,0.33334094,0.3054176,0.21485354,0.31831637,0.15777418,0.4487153,0.36074173,0.20304422,0.03142392,0.29002035,0.2545349,0.25778735,0.26976264,0.07767942,0.2968396,0.21400121,0.12817289,0.21605463,0.39139187,0.28511104,0.19441743,0.20853654,0.32823837,0.18251471,0.2770179,0.21090248,0.12091367,0.6009693,0.24742976,0.39773753,0.17849293,0.25468054,0.19355813,0.2187638,0.29905897,0.32355043,0.342735,0.19341286,0.29160917,0.3100191,0.20355362,0.34646592,0.052421786,0.32532954,0.2599672,0.28986946,0.24952838,0.33563516,0.22823839,0.2117651,0.31144923,0.1273069,0.33063936,0.31134793,0.24433137,0.27381504,0.1882599,0.40960133,0.19587262,0.41129643,0.2832275,0.16467014,0.26452932,0.20422329,0.45839354,0.13171455,0.46249816,0.23061982,0.2813869,0.05733645,0.28235373
7,0.29480788,0.39052433,0.20123917,0.14109944,0.33225542,0.11966183,1.0000001,0.099048615,0.24429293,0.20028567,0.14591521,0.3622089,0.27935332,0.31971782,0.34800023,0.32873318,0.22539248,0.20794949,0.28764233,0.36220324,0.17946875,-0.045434486,0.22303846,0.43212697,0.19231041,0.34815726,0.22960141,0.19798166,0.19972399,0.61908245,0.46631113,0.19380169,0.26792237,0.027992677,0.17285074,0.023879042,0.20429897,0.37808284,0.19186622,0.3490337,0.28084806,0.19828255,0.34817636,0.2325762,0.3296589,0.1505592,0.22115842,0.26256728,0.21030524,0.28360087,0.37643644,0.17308402,0.31104887,0.35032624,0.32074136,0.34585893,0.15519804,0.2221692,0.1887409,0.3308382,0.30951017,0.29285064,0.08081514,0.24418756,0.3100729,0.16520242,0.22280967,0.19001827,0.34082648,0.27445874,0.3153733,0.35081446,0.22468363,0.3110409,0.12317456,0.25034395,0.14140017,0.20311457,0.29403788,0.29656234,0.34929723,0.12233759,0.080427356,0.4115871
8,0.052305683,0.12864394,0.21473676,0.15679199,0.1385533,0.08563404,0.099048615,1.0,0.12515093,0.12900168,0.08817127,0.07648559,0.1562002,0.08622502,0.055660054,0.20484227,0.14260325,0.0951087,0.22072749,0.021314997,0.28968346,0.30359817,0.110591084,0.05810178,0.23686042,0.13992092,0.2072469,0.33171389,0.1387515,0.07840894,0.17208174,0.21172099,0.16431427,0.09680053,0.23647782,0.19727969,0.12687467,0.13913363,0.0781372,0.18730462,0.12668408,0.28575486,0.17801207,0.37817112,0.038746927,0.32462373,0.28729588,0.087945715,0.18887782,0.09965655,0.20465165,0.35838306,0.22367042,0.040902477,0.09381853,0.14066672,0.07226189,0.07096854,0.03332949,0.18687113,0.15850218,0.05236332,-0.0026300452,0.14167254,0.04886998,0.13473976,0.00063446723,0.25792953,0.017355936,0.13412043,0.1600079,0.32303926,0.10133601,0.08980896,0.06594186,-0.026885647,-0.021191254,0.11793749,0.084296934,0.21776138,0.107958674,0.1640307,0.21471485,0.014426267
9,0.323717,0.18243758,0.25418606,0.1902856,0.094822414,0.11100652,0.24429293,0.12515093,1.0000001,0.23388514,0.16213441,0.3009171,0.22685513,0.21936421,0.32937932,0.22758481,0.055014037,0.19333094,0.38847628,0.33780608,0.19376706,0.123818606,0.24783011,0.18374643,0.24654453,0.37555942,0.14366072,0.16233005,0.116777785,0.12727182,0.26623935,0.23974873,0.0826327,0.15250234,0.23855706,0.09767727,0.24947374,0.15486562,0.054178532,0.26728615,0.22245508,0.16281264,0.3102832,0.23757495,0.1897583,0.19715178,0.2996978,0.30106065,0.21843195,0.24361126,0.151042,0.09841086,0.44978666,0.32353148,0.14430171,0.0965813,0.10983232,0.26209155,0.14500539,0.28138623,0.3142357,0.13479742,0.0909801,0.21246985,0.2657709,0.3324498,0.06766062,0.13841465,0.2574547,0.22431241,0.24359028,0.16612415,0.14799935,0.0894523,0.07822875,0.24449018,0.050363384,0.25787127,0.072647184,0.32239944,0.18193676,0.10539362,0.0074563976,0.25191116
10,0.2193298,0.36470562,0.14731044,0.30297568,0.14244868,0.40776628,0.20028567,0.12900168,0.23388514,1.0000002,0.10320145,0.24532738,0.28653035,0.2895937,0.21999213,0.13679942,0.13204929,0.055739187,0.3226149,0.29495686,0.27155408,0.051944874,0.19632356,0.09258796,0.26472428,0.32639048,0.31308404,0.3161593,0.060075354,0.04998909,0.2960429,0.32812065,0.20068495,0.1985854,0.08610452,0.22687514,0.42867744,0.17503282,0.0505528,0.14908384,0.33903772,0.349349,0.4525209,0.14565551,0.17070836,0.1211461,0.21655671,0.26826054,0.3293241,0.37249854,0.14480779,0.4064649,0.35110125,0.3029808,0.22957025,0.15444928,0.23720434,0.22272065,0.2123404,0.27161467,0.3814165,0.18992947,0.15874599,0.25410306,0.12091866,0.24579011,0.28612888,0.16046143,0.16489568,0.15337923,0.25039008,0.22781344,0.19846793,0.18097357,0.13463217,0.1938054,0.10044761,0.48823476,0.100805104,0.42870665,0.1734168,0.21077055,0.10273376,0.21273714
